run_id,fold,held_out_user,validation_user,n_train_windows,n_test_windows,trials_used,position_accuracy,macro_f1,room_accuracy,mean_distance_error,median_distance_error,rmse_distance_error,p90_distance_error,majority_position_accuracy,majority_room_accuracy,fit_seconds,predict_seconds,wall_seconds,parameter_count,best_val_accuracy,best_epoch,mean_seconds_per_epoch,samples,stopped_epoch,patience_triggered,model,dataset
dl__cnn__5ghz__lovo__ebl-session__s42__9b1404,03,03,02,8081,1614,01,0.1257744733581164,0.0818187518376029,0.7936802973977695,3.005611644735776,2.8284271247461903,3.7869206854080337,6.0579337712087575,0.0192069392812887,0.6548946716232962,32.79546248004772,1.6457632440142334,34.44122572406195,76308.0,0.0732165206508135,56.0,0.4682318240271083,1614.0,70.0,False,,
dl__cnn__5ghz__lovo__ebl-session__s42__9b1404,04,04,03,8060,1635,01,0.109480122324159,0.0866138719066335,0.72782874617737,3.887918736371747,3.605551275463989,4.806659498567399,7.280109889280518,0.019571865443425,0.6562691131498471,15.06013129116036,1.3352238999214023,16.395355191081762,76308.0,0.1133828996282527,14.0,0.5189247027617591,1635.0,29.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s42__9b1404,05,05,04,8082,1613,01,0.064476131432114,0.0487667668763403,0.3267203967761934,5.15849964764746,5.0,6.181136433791379,10.04987562112089,0.0192188468691878,0.6540607563546187,20.966949836118147,1.6313285888172686,22.59827842493541,76308.0,0.0990825688073394,27.0,0.4988757293349841,1613.0,42.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s42__9b1404,06,06,05,8088,1607,01,0.0715619166148102,0.0469629522704872,0.7031736154324829,3.6850634541733327,3.1622776601683795,4.434056691450773,7.0,0.0199128811449906,0.65588052271313,14.396139877848327,1.5813103411346674,15.977450218982996,76308.0,0.1153130812151271,12.0,0.5327495760887999,1607.0,27.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s43__a89b5d,01,01,06,8067,1628,01,0.0466830466830466,0.0285425284532912,0.5196560196560197,4.373750774824956,4.123105625617661,5.292083002574932,9.219544457292889,0.0196560196560196,0.6621621621621622,16.169304966926575,1.3311228470411152,17.50042781396769,76308.0,0.0983198506533914,15.0,0.5385882920430353,1628.0,30.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s43__a89b5d,02,02,01,8097,1598,01,0.0544430538172715,0.0335640456335976,0.6733416770963705,3.895309519665972,3.605551275463989,4.625661675092064,7.280109889280518,0.0200250312891113,0.6508135168961201,11.217005626065657,1.6933643780648708,12.910370004130527,76308.0,0.0681818181818181,5.0,0.5604685811442323,1598.0,20.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s43__a89b5d,03,03,02,8081,1614,01,0.1078066914498141,0.0700004885001839,0.6883519206939281,3.395290771490688,3.0,4.254234715098876,7.0,0.0192069392812887,0.6548946716232962,26.40125471609645,1.3295222278684378,27.730776943964884,76308.0,0.0763454317897371,39.0,0.4886363307574626,1614.0,54.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s43__a89b5d,04,04,03,8060,1635,01,0.1009174311926605,0.0913056987732692,0.7547400611620795,3.704382840275761,3.1622776601683795,4.530224694186428,7.0,0.019571865443425,0.6562691131498471,14.860976038966328,1.68928901408799,16.550265053054318,76308.0,0.0935563816604708,13.0,0.5304083332053519,1635.0,28.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s43__a89b5d,05,05,04,8082,1613,01,0.0731556106633602,0.0391853038528196,0.3856168629882207,4.8151524554067135,4.242640687119285,5.7941009400646255,9.486832980505138,0.0192188468691878,0.6540607563546187,21.81372989504598,1.6670574881136415,23.480787383159623,76308.0,0.110703363914373,29.0,0.4954310389055701,1613.0,44.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s43__a89b5d,06,06,05,8088,1607,01,0.0560049782202862,0.0493601432855487,0.716241443683883,4.134596813788416,3.605551275463989,4.96803722829048,8.246211251235321,0.0199128811449906,0.65588052271313,18.312416377011687,1.3429356089327484,19.655351985944435,76308.0,0.1159330440173589,21.0,0.5082503839577031,1607.0,36.0,True,,
